Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
2/11/09 19:04,"I recently took this terrible medication, and gained ten pounds in two days. After reporting this to my Dr., he suggested taking lasik. Why would you want to take a medication to cover the result of another medication, is beyond me!",Type 2 Diabetes Mellitus,Actos oral,5,1,6,45-54 Female  on Treatment for less than 1 month (Patient),1
2/10/09 4:51,,Type 2 Diabetes Mellitus,Actos oral,5,1,6,"Mozella, 55-64 Male  on Treatment for less than 1 month (Patient)",1
2/9/09 7:19,,Type 2 Diabetes Mellitus,Actos oral,5,3,4,"sandgrain, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",2
2/6/09 13:42,,Type 2 Diabetes Mellitus,Actos oral,4,3,8,"dot 38242, 45-54 Female  on Treatment for 1 to 6 months (Patient)",3
2/5/09 18:18,,Type 2 Diabetes Mellitus,Actos oral,4,2,1,75 or over Male  on Treatment for less than 1 month (Patient),3
2/17/09 19:14,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,45-54 Female  on Treatment for 6 months to less than 1 year (Patient),5
2/17/09 17:01,,Type 2 Diabetes Mellitus,Actos oral,4,4,2,65-74 Male  on Treatment for 6 months to less than 1 year (Patient),4
2/16/09 11:25,,Type 2 Diabetes Mellitus,Actos oral,4,1,9,"lynn, 45-54 Female  on Treatment for less than 1 month (Patient)",1
2/16/09 9:11,,Type 2 Diabetes Mellitus,Actos oral,5,1,1,"savage beast, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",1
2/13/09 14:12,,Type 2 Diabetes Mellitus,Actos oral,5,4,3,"JS, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",4
3/7/09 14:10,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"WGT11, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient)",4
3/7/09 6:55,,Type 2 Diabetes Mellitus,Actos oral,5,3,9,"actos, 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
3/7/09 5:01,,Type 2 Diabetes Mellitus,Actos oral,5,2,7,"puttumthere, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
2/25/09 12:00,,Type 2 Diabetes Mellitus,Actos oral,3,4,4,"Tom, 55-64 Male  on Treatment for 1 to 6 months (Patient)",3
2/19/09 15:45,,Type 2 Diabetes Mellitus,Actos oral,5,5,3,"fatpat, 75 or over on Treatment for 6 months to less than 1 year (Patient)",5
3/19/09 19:17,"This medication caused sevre muscle cramps in my legs, hands and arms.  It also made me very sleepy.  This drug is very strong and your doctor should really take a indepth look at your lifestyle before putting you on it.",Type 2 Diabetes Mellitus,Actos oral,1,4,1,"LMMcCravy, 35-44 Female  on Treatment for 1 to 6 months (Patient)",1
3/18/09 14:38,,Type 2 Diabetes Mellitus,Actos oral,5,2,1,"MightyMet, 35-44 Male  on Treatment for 1 to less than 2 years (Patient)",2
3/17/09 15:54,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,,5
3/13/09 12:14,,Type 2 Diabetes Mellitus,Actos oral,5,5,3,"psugrad68, 55-64 Male  on Treatment for less than 1 month (Patient)",4
3/10/09 14:43,,Type 2 Diabetes Mellitus,Actos oral,4,1,1,"toram, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
4/3/09 21:44,"This medication along with my injection of
Lantus once a day brought my numbers from 400 to 120 within (4) months. It took about 1 month to get use to the side effects of joint pain, I also gained 30lbs 6) months. It increased my desire to eat. Even thought I exercised and tried to eat healthy.   ",Type 2 Diabetes Mellitus,Actos oral,3,4,1,"ivy, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient)",2
4/1/09 21:04,,Type 2 Diabetes Mellitus,Actos oral,5,5,3,,3
3/27/09 19:05,,Type 2 Diabetes Mellitus,Actos oral,4,4,0,55-64 (Patient),5
3/26/09 9:57,,Type 2 Diabetes Mellitus,Actos oral,4,2,1,45-54 Female  on Treatment for 1 to 6 months (Caregiver),1
3/21/09 1:53,,Type 2 Diabetes Mellitus,Actos oral,1,1,2,"mahala56, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
4/16/09 12:45,,Type 2 Diabetes Mellitus,Actos oral,5,2,1,25-34 Female  on Treatment for 1 to 6 months (Patient),1
4/12/09 10:10,,Type 2 Diabetes Mellitus,Actos oral,4,1,1,"meisa83, 25-34 Female  on Treatment for 1 to 6 months (Patient)",1
4/11/09 17:44,,Type 2 Diabetes Mellitus,Actos oral,4,3,1,"hv, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
4/11/09 13:17,,Type 2 Diabetes Mellitus,Actos oral,5,4,3,"reakins, 75 or over Male  on Treatment for 1 to 6 months (Patient)",3
4/9/09 9:34,,Type 2 Diabetes Mellitus,Actos oral,5,4,2,"bonanza, 65-74 Male  on Treatment for 1 to 6 months (Patient)",4
4/30/09 13:01,I took this medication for 2 years and gained 20 lbs. and had pain in my nailbeds. Dr. switched me to metformin and have since lost the weight and finger pain has stopped.,Type 2 Diabetes Mellitus,Actos oral,4,4,5,Female  on Treatment for 2 to less than 5 years (Patient),1
4/29/09 12:41,,Type 2 Diabetes Mellitus,Actos oral,1,3,5,"shar, 65-74 Female  (Patient)",1
4/24/09 0:37,,Type 2 Diabetes Mellitus,Actos oral,4,4,0,"mightylindell, 55-64 Male  on Treatment for 10 years or more (Patient)",4
4/18/09 15:39,,Type 2 Diabetes Mellitus,Actos oral,3,3,5,55-64 Female  on Treatment for 5 to less than 10 years (Patient),3
4/17/09 1:44,,Type 2 Diabetes Mellitus,Actos oral,5,3,0,75 or over Male  on Treatment for 1 to 6 months (Patient),5
5/7/09 9:54,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,55-64 Male  on Treatment for 1 to less than 2 years (Patient),5
5/6/09 18:36,,Type 2 Diabetes Mellitus,Actos oral,1,1,5,55-64 Female  on Treatment for 1 to 6 months (Patient),1
5/5/09 9:11,,Type 2 Diabetes Mellitus,Actos oral,3,3,0,,3
5/3/09 18:36,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"summerchyenne, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
5/1/09 0:22,,Type 2 Diabetes Mellitus,Actos oral,5,5,4,25-34 Female  on Treatment for 1 to less than 2 years (Patient),5
5/26/09 20:23,"I am taking Metformin 1000 x2 a day.  My doctor added Actos 45 for better control.  I have been taking the Actos now for a few month's maybe 3 or 4.  Since then I have lost 10 pounds not much nausea just no appetite.  The worst is now for the past month I have had leg problems feelings like if you apply Icy/Hot to a area.  My feet sweat and feel tingly tis never happened before the Actos.  I a
					...
					",Type 2 Diabetes Mellitus,Actos oral,4,3,5,"whitney, 35-44 Female  on Treatment for 1 to 6 months (Patient)",2
5/13/09 18:52,,Type 2 Diabetes Mellitus,Actos oral,4,4,8,"none, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",2
5/12/09 13:36,,Type 2 Diabetes Mellitus,Actos oral,5,5,6,"SSport454, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",5
5/11/09 18:09,,Type 2 Diabetes Mellitus,Actos oral,5,4,3,45-54 Female  on Treatment for 1 to 6 months (Patient),5
5/11/09 10:07,,Type 2 Diabetes Mellitus,Actos oral,5,3,8,"Barton, 75 or over Male  on Treatment for 6 months to less than 1 year (Patient)",3
5/30/09 12:26,"This drug almost did me in, or at least I felt like. It made me very dizzy, gave me shortness of breath and very sensitive to sunlight. I just felt bad overall and my glucose numbers were not all that good. I refused to take it any more after about 4 mounth. 
",Type 2 Diabetes Mellitus,Actos oral,1,1,9,"pdumesnil, 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
5/28/09 11:22,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,55-64 Male  on Treatment for 6 months to less than 1 year (Patient),5
5/28/09 1:56,,Type 2 Diabetes Mellitus,Actos oral,4,4,4,"whitney, 35-44 Female  on Treatment for 1 to 6 months (Patient)",2
5/28/09 0:11,,Type 2 Diabetes Mellitus,Actos oral,3,3,1,"ladyck3, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
5/27/09 20:23,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"john, 65-74 Male  on Treatment for 10 years or more (Patient)",5
6/9/09 16:50,I dont think I should be taking this. I have hep C and web MD says I should not be taking actos. I have stopped taking it and now will let my doctor know.,Type 2 Diabetes Mellitus,Actos oral,3,3,5,55-64 Male  on Treatment for 1 to less than 2 years (Patient),1
6/8/09 17:38,,Type 2 Diabetes Mellitus,Actos oral,5,4,4,45-54 Female  on Treatment for 6 months to less than 1 year (Caregiver),1
6/3/09 18:31,,Type 2 Diabetes Mellitus,Actos oral,4,4,5,"whitneybuns, 35-44 Female  on Treatment for 1 to 6 months (Patient)",3
6/2/09 19:40,,Type 2 Diabetes Mellitus,Actos oral,4,4,0,"ed3253, 65-74 Male  on Treatment for 1 to less than 2 years (Patient)",4
6/2/09 14:39,,Type 2 Diabetes Mellitus,Actos oral,5,3,4,"ccmm57, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient)",3
6/11/09 14:03,"started w/30mg added to glimipiride.  was not working until i switched to taking it before bed. Then works great! I haven't mention to dr yet, but i think is was reacting w/some other meds.  I take micardis hct.  Have already been on the hct and 2xwk lasik.  No weight gain yet, which was my fear.  good fasting #s.",Type 2 Diabetes Mellitus,Actos oral,4,4,5,"d712t, 45-54 Female  on Treatment for less than 1 month (Patient)",3
6/11/09 11:58,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,"Bill Price, 75 or over Male  on Treatment for 10 years or more (Patient)",5
6/11/09 10:55,,Type 2 Diabetes Mellitus,Actos oral,4,3,0,45-54 Female  on Treatment for 1 to less than 2 years (Patient),3
6/10/09 17:35,,Type 2 Diabetes Mellitus,Actos oral,5,3,4,"brendalc, 45-54 Female  on Treatment for 5 to less than 10 years (Patient)",3
6/10/09 6:03,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,,5
6/20/09 20:33,"I am having all of the side effects noted above from taking 1 pill of the Actos Oral.  The muscle spasms are terrible as well as vision problems.  I wish I could return the rest of the pills.  They are worthless to me & cost me $35.00 for a 30 day supply.
",Type 2 Diabetes Mellitus,Actos oral,1,1,1,"Ann, 75 or over Female  on Treatment for less than 1 month (Patient)",1
6/19/09 22:22,,Type 2 Diabetes Mellitus,Actos oral,5,2,1,"mare, 65-74 Female  on Treatment for 2 to less than 5 years (Patient)",1
6/17/09 12:48,,Type 2 Diabetes Mellitus,Actos oral,5,5,8,45-54 Female  on Treatment for 1 to 6 months (Patient),2
6/16/09 15:20,,Type 2 Diabetes Mellitus,Actos oral,3,1,2,"js8p, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",1
6/13/09 22:13,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"Doug, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",5
6/26/09 0:13,I do not know of this medication is the cause....but in the past year i have gained 25 lbs...swelling feet....severe leg cramps at night and possible congestive heart failure....is this pill the reason??,Type 2 Diabetes Mellitus,Actos oral,3,2,1,"blade, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",2
6/23/09 16:23,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"Tom, 55-64 Male  on Treatment for 1 to 6 months (Patient)",5
6/23/09 9:32,,Type 2 Diabetes Mellitus,Actos oral,4,1,1,"xxxxxxxxxx, 65-74 Male  on Treatment for 1 to less than 2 years (Patient)",1
6/22/09 20:08,,Type 2 Diabetes Mellitus,Actos oral,5,4,6,"katherine, 65-74 Female  on Treatment for less than 1 month (Patient)",1
6/22/09 11:06,,Type 2 Diabetes Mellitus,Actos oral,4,4,7,"giddy-up-go, 75 or over Male  on Treatment for 2 to less than 5 years (Patient)",4
7/21/09 18:38,My vision is bad.  I had my yearly eye examine in May and everything was fine. Started taking Actos in June and now I have very blurred vision.  Want to know if this will clear up if I stop taking this medicine or is it permanent.,Type 2 Diabetes Mellitus,Actos oral,5,4,1,"gram, 55-64 Female  on Treatment for 1 to 6 months",2
7/9/09 17:28,,Type 2 Diabetes Mellitus,Actos oral,2,3,1,45-54 Male  on Treatment for 2 to less than 5 years (Patient),1
7/5/09 21:06,,Type 2 Diabetes Mellitus,Actos oral,3,1,7,"dleone, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
7/4/09 0:09,,Type 2 Diabetes Mellitus,Actos oral,5,4,3,"nancy neptune, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
7/2/09 9:21,,Type 2 Diabetes Mellitus,Actos oral,4,1,4,45-54 Female  on Treatment for 1 to 6 months (Patient),1
8/2/09 12:11,I'm having blood in my stool sense starting actos.,Type 2 Diabetes Mellitus,Actos oral,4,1,6,"Heidi08, 35-44 Female  on Treatment for less than 1 month (Patient)",1
7/31/09 1:42,,Type 2 Diabetes Mellitus,Actos oral,5,4,0,"ladybug, 55-64 Female",4
7/28/09 3:30,,Type 2 Diabetes Mellitus,Actos oral,4,4,0,"DOCICE, 35-44 Male  on Treatment for 2 to less than 5 years (Patient)",4
7/26/09 19:51,,Type 2 Diabetes Mellitus,Actos oral,5,4,5,"nan51149, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",4
7/26/09 12:41,,Type 2 Diabetes Mellitus,Actos oral,5,3,0,"7xwv4p, 75 or over Male  on Treatment for 2 to less than 5 years (Patient)",3
8/3/09 14:52,easy to take no side effects so far,Type 2 Diabetes Mellitus,Actos oral,4,4,1,"jwal9721, 75 or over Male  on Treatment for 2 to less than 5 years (Caregiver)",5
8/13/09 6:21,,Type 2 Diabetes Mellitus,Actos oral,1,1,5,"maxie, 55-64 Male  on Treatment for less than 1 month (Caregiver)",1
8/12/09 13:20,,Type 2 Diabetes Mellitus,Actos oral,4,4,1,"Nana, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",1
8/10/09 10:47,,Type 2 Diabetes Mellitus,Actos oral,1,1,1,"marie1, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
8/3/09 21:44,,Type 2 Diabetes Mellitus,Actos oral,4,1,2,55-64 Female  on Treatment for 1 to 6 months (Patient),1
8/26/09 15:54,"Weight gain, tired, tooth pain that sent me through the roof when having teeth cleaned.  Swelling more often than before.  Took for one year with fluctuating A1C tests from Under 7 to Over 8.  Now on glipizide with Metformin.  ",Type 2 Diabetes Mellitus,Actos oral,3,1,1,"Meezer, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",1
8/26/09 4:54,,Type 2 Diabetes Mellitus,Actos oral,5,4,7,"Jumpy All Night, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",4
8/21/09 18:12,,Type 2 Diabetes Mellitus,Actos oral,5,2,6,"marysmy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",3
8/20/09 23:46,,Type 2 Diabetes Mellitus,Actos oral,3,1,1,"bobbie55, 55-64 Female  on Treatment for 1 to less than 2 years",1
8/13/09 10:36,,Type 2 Diabetes Mellitus,Actos oral,3,2,2,,2
9/11/09 12:23,"My father started Actos the 2nd week of July. Only 3 weeks after initiating this medication he died of a heart attack. He was 58 years old and had no previous history of heart failure in his medical record. After thinking about our phone conversations he had complained of his feet bothering him and thought it was his gout flaring. He was inreasingly tired but then didn't seek medical attention
					...
					",Type 2 Diabetes Mellitus,Actos oral,2,2,3,25-34 Female  on Treatment for less than 1 month (Caregiver),1
9/7/09 10:23,,Type 2 Diabetes Mellitus,Actos oral,5,3,1,25-34 Female  on Treatment for 1 to less than 2 years,1
9/5/09 0:55,,Type 2 Diabetes Mellitus,Actos oral,5,3,1,"bunnycalif, 55-64 Female  on Treatment for 5 to less than 10 years (Patient)",2
8/30/09 14:05,,Type 2 Diabetes Mellitus,Actos oral,5,3,2,65-74 Male  on Treatment for 1 to less than 2 years (Patient),3
8/27/09 17:40,,Type 2 Diabetes Mellitus,Actos oral,3,1,2,"Pattie, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",1
9/22/09 12:18,"I have been on Actos for 2.5 years now. I have had to increase this medicine twice due to the effect it has on my diabetes. I am also on Metformin 2000mg a day. I am at the top out doseage for the Actos. I have had experience with sweeling in the legs, night sweats, rapid heart beating. I am so tired all the time etc.. I do not recommend this medicine to anyone",Type 2 Diabetes Mellitus,Actos oral,4,3,1,"Angel, 25-34 Female  on Treatment for 2 to less than 5 years (Patient)",2
9/22/09 1:18,,Type 2 Diabetes Mellitus,Actos oral,5,5,8,"myjellybean, 75 or over Female  on Treatment for 6 months to less than 1 year (Patient)",5
9/19/09 15:37,,Type 2 Diabetes Mellitus,Actos oral,5,5,3,"ACTOUS, 45-54 Male  on Treatment for 5 to less than 10 years (Caregiver)",1
9/12/09 21:01,,Type 2 Diabetes Mellitus,Actos oral,5,5,9,"faltopar, 65-74 Male  on Treatment for 1 to 6 months (Patient)",5
9/11/09 14:40,,Type 2 Diabetes Mellitus,Actos oral,5,3,1,"jill, 45-54 Female  on Treatment for less than 1 month (Patient)",1
10/19/09 10:53,"Wow! Thank god I am not losing my mind. I too have had a lot of the same symptoms as others. Lets start with the night sweats,ridiculous! Aches and pains? Ohh yeah! Lethargy uh huh. I stand all day as a hair colorist and have found this drug not helpful at all. A definite energy sucker. The doc put me on this because I noticed a meter reading of 18 only once. When i did a yearly checkup at the hos
					...
					",Type 2 Diabetes Mellitus,Actos oral,4,2,1,"JD, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",1
10/13/09 18:15,,Type 2 Diabetes Mellitus,Actos oral,4,2,8,"Jem, 25-34 Female  on Treatment for 2 to less than 5 years (Patient)",2
9/27/09 21:22,,Type 2 Diabetes Mellitus,Actos oral,5,3,1,55-64 Female  (Patient),1
9/24/09 13:21,,Type 2 Diabetes Mellitus,Actos oral,5,4,1,"dt, 45-54 Male  on Treatment for 1 to 6 months (Patient)",2
9/23/09 18:47,,Type 2 Diabetes Mellitus,Actos oral,2,2,2,"TGIRL1980, 25-34 Female  on Treatment for 1 to 6 months (Patient)",1
11/1/09 23:31,"My cardioligist was concerned about me taking this medication. Now I know why. It seemed to help the first couple of weeks, but not as effective later. It made me feel lousey and lathargic, so I know longer take it.",Type 2 Diabetes Mellitus,Actos oral,5,3,9,"dreggo, 55-64 Male  on Treatment for 1 to 6 months (Patient)",2
10/29/09 0:32,,Type 2 Diabetes Mellitus,Actos oral,5,3,1,65-74 Female  on Treatment for 2 to less than 5 years (Patient),1
10/26/09 15:53,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,65-74 Male  on Treatment for 5 to less than 10 years (Patient),5
10/22/09 11:44,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"Joe, 75 or over Male  on Treatment for 2 to less than 5 years (Patient)",5
10/21/09 23:08,,Type 2 Diabetes Mellitus,Actos oral,5,4,0,65-74 Male  on Treatment for 2 to less than 5 years (Patient),4
11/20/09 22:21,I am experiencing gas and acid reflex since I started taking 30 mg of this medicine. I was ok with taking only 15 mg.,Type 2 Diabetes Mellitus,Actos oral,4,3,4,"nsochoa52, 45-54 Female  on Treatment for 1 to 6 months (Patient)",2
11/18/09 2:44,,Type 2 Diabetes Mellitus,Actos oral,3,2,1,"DNSBurgey, 35-44 Female  on Treatment for 2 to less than 5 years (Patient)",1
11/7/09 10:48,,Type 2 Diabetes Mellitus,Actos oral,4,3,6,"Lee L., 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",2
11/21/09 19:42,,Type 2 Diabetes Mellitus,Actos oral,1,1,3,Female  (Caregiver),1
11/2/09 16:28,,Type 2 Diabetes Mellitus,Actos oral,4,1,1,"34xckl, 75 or over Female  on Treatment for 6 months to less than 1 year",1
12/6/09 15:13,i would just like a better price than over 200 dollars for 30 day of pills,Type 2 Diabetes Mellitus,Actos oral,4,5,2,"rojasarturo77, 35-44 Male  on Treatment for 1 to less than 2 years (Patient)",5
11/29/09 16:30,,Type 2 Diabetes Mellitus,Actos oral,4,2,1,"readallresearch, 45-54 Male  on Treatment for 1 to 6 months (Patient)",1
11/28/09 19:34,,Type 2 Diabetes Mellitus,Actos oral,4,4,3,"mimi, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",4
11/25/09 10:44,,Type 2 Diabetes Mellitus,Actos oral,3,3,1,"danielblades, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",1
11/23/09 12:01,,Type 2 Diabetes Mellitus,Actos oral,4,3,0,,1
12/29/09 0:01,"Ok so i have been on actos since august i believe. since being on actos i have been completely unmotivated and depressed so my doctors answer was to put me on depression medications, none of which worked and had horrible withdraw symptoms. i have also gained at least 40 pounds and continue to gain and my blood sugar levels seem to not be affected. i also have noticed swelling in my hands and can n
					...
					",Type 2 Diabetes Mellitus,Actos oral,5,2,1,,1
12/24/09 17:26,,Type 2 Diabetes Mellitus,Actos oral,1,1,2,"BARBIE357, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
12/24/09 13:06,,Type 2 Diabetes Mellitus,Actos oral,1,1,1,"carolee, 45-54 Female  on Treatment for less than 1 month (Patient)",1
12/17/09 9:44,,Type 2 Diabetes Mellitus,Actos oral,4,4,1,,1
12/11/09 19:37,,Type 2 Diabetes Mellitus,Actos oral,4,4,1,,1
1/16/10 11:51,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,65-74 Female  on Treatment for 1 to 6 months (Patient),5
1/13/10 16:35,,Type 2 Diabetes Mellitus,Actos oral,4,3,0,65-74 Male  on Treatment for 2 to less than 5 years (Patient),3
1/13/10 13:30,,Type 2 Diabetes Mellitus,Actos oral,5,4,1,"idsportsman, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",5
1/11/10 20:00,,Type 2 Diabetes Mellitus,Actos oral,3,1,8,"wlfree, 65-74 Male  on Treatment for less than 1 month (Patient)",1
1/5/10 0:53,,Type 2 Diabetes Mellitus,Actos oral,2,2,8,"granny, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",1
1/24/10 9:42,Should Actos be taken am or pm?,Type 2 Diabetes Mellitus,Actos oral,5,3,3,,4
1/22/10 19:29,,Type 2 Diabetes Mellitus,Actos oral,1,1,6,"carlos, 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
1/21/10 16:01,,Type 2 Diabetes Mellitus,Actos oral,1,1,2,"eva, 65-74 Female  on Treatment for less than 1 month (Caregiver)",1
1/20/10 16:11,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,"philphocas, 75 or over Male  on Treatment for less than 1 month (Patient)",5
1/16/10 14:29,,Type 2 Diabetes Mellitus,Actos oral,3,3,5,"OliverandStan, 65-74 Male  on Treatment for 10 years or more (Patient)",2
2/3/10 15:50,doesnt appear to lower my blood sugar and ended up with weight gain that I cant seem to get rid of. thinking of dropping the med.,Type 2 Diabetes Mellitus,Actos oral,5,2,6,"Old salt, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",2
1/30/10 16:05,,Type 2 Diabetes Mellitus,Actos oral,3,1,2,55-64 Female  on Treatment for 1 to 6 months (Caregiver),1
1/29/10 17:50,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"tammra, 35-44 Female  on Treatment for 1 to 6 months (Patient)",5
1/27/10 9:30,,Type 2 Diabetes Mellitus,Actos oral,5,5,4,45-54 Female  (Patient),5
1/25/10 23:12,,Type 2 Diabetes Mellitus,Actos oral,5,5,3,"sandnans, 65-74 on Treatment for 2 to less than 5 years (Patient)",5
2/13/10 16:04,,Type 2 Diabetes Mellitus,Actos oral,4,3,2,"james54, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",2
2/10/10 19:06,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"Canadian1967, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",5
2/10/10 16:00,,Type 2 Diabetes Mellitus,Actos oral,5,3,8,"breadboy, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",2
2/8/10 12:12,,Type 2 Diabetes Mellitus,Actos oral,5,1,6,"Nbg, 45-54 Female  on Treatment for less than 1 month (Patient)",1
2/5/10 8:07,,Type 2 Diabetes Mellitus,Actos oral,5,4,1,55-64 Male  on Treatment for 2 to less than 5 years (Patient),3
3/8/10 15:46,"At first it works great and A1C is normal. By the end of the third month, ankles swell, A1C goes back up, tremendous weight gain with fatigue.",Type 2 Diabetes Mellitus,Actos oral,5,3,1,"Isabella, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",1
3/6/10 21:37,,Type 2 Diabetes Mellitus,Actos oral,5,5,8,55-64 on Treatment for 1 to less than 2 years (Patient),3
3/6/10 13:50,,Type 2 Diabetes Mellitus,Actos oral,5,4,0,65-74 Male  on Treatment for 5 to less than 10 years (Patient),4
3/6/10 8:26,,Type 2 Diabetes Mellitus,Actos oral,3,1,1,"South Georgia, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
3/3/10 12:08,,Type 2 Diabetes Mellitus,Actos oral,4,3,0,45-54 Female  on Treatment for less than 1 month (Patient),3
3/18/10 7:36,my doctor switched me from avandia to actos and i have been completely satisfied with the switch so far,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"newby, 45-54 Female  on Treatment for less than 1 month (Patient)",5
3/18/10 0:00,,Type 2 Diabetes Mellitus,Actos oral,5,5,7,"sherry7647, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
3/16/10 22:24,,Type 2 Diabetes Mellitus,Actos oral,3,3,1,"hoss, 45-54 Male  on Treatment for 5 to less than 10 years (Patient)",2
3/11/10 11:27,,Type 2 Diabetes Mellitus,Actos oral,4,1,6,"Olivia, 25-34 Female  on Treatment for less than 1 month (Patient)",1
3/10/10 10:49,,Type 2 Diabetes Mellitus,Actos oral,5,5,0,65-74 Female  on Treatment for 1 to 6 months (Patient),5
3/29/10 13:46,I HAVE BEEN ON ACTOS FOR MANY YEARS AND MY SUGAR IS UNDER GREAT CONTROL. I HAVE HAD NO ILL EFFECTS FROM ACTOS.,Type 2 Diabetes Mellitus,Actos oral,5,4,5,"LUCY, 75 or over Female  on Treatment for 2 to less than 5 years (Patient)",5
3/27/10 16:24,,Type 2 Diabetes Mellitus,Actos oral,4,3,4,"sal, 75 or over Male  on Treatment for less than 1 month (Patient)",4
3/24/10 0:30,,Type 2 Diabetes Mellitus,Actos oral,5,3,3,"gr8t2bhere, 45-54 Female  on Treatment for 5 to less than 10 years (Patient)",1
3/23/10 8:18,,Type 2 Diabetes Mellitus,Actos oral,4,4,5,35-44 Female  on Treatment for 1 to 6 months (Patient),4
3/22/10 17:21,,Type 2 Diabetes Mellitus,Actos oral,5,5,2,"Angelina, 35-44 Female  on Treatment for 2 to less than 5 years (Patient)",5
4/27/10 9:59,I have gained about 20+ pounds in the last 3-4 months without increases or changes in diet.,Type 2 Diabetes Mellitus,Actos oral,4,4,6,"sues956, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",2
4/26/10 19:01,,Type 2 Diabetes Mellitus,Actos oral,3,3,3,,1
4/20/10 18:54,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,"bowlby7230, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
4/14/10 10:28,,Type 2 Diabetes Mellitus,Actos oral,4,1,8,55-64 Male  on Treatment for less than 1 month (Patient),1
4/8/10 9:55,,Type 2 Diabetes Mellitus,Actos oral,5,1,1,"Lucy1957, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient)",1
5/3/10 12:46,causes burning stomach pain after taking,Type 2 Diabetes Mellitus,Actos oral,1,1,9,"sidregan, 75 or over Male  on Treatment for 1 to less than 2 years (Patient)",1
5/2/10 16:11,,Type 2 Diabetes Mellitus,Actos oral,4,4,2,"dawgmen123, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",4
5/1/10 14:03,,Type 2 Diabetes Mellitus,Actos oral,5,5,1,,1
